old_url,new_path
https://help.oxfordabstracts.com/knowledge/how-to-register-on-the-behalf-of-someone-else-2.0-2023-version,/07-delegate-registration/registering-on-the-behalf-of-someone-else
https://help.oxfordabstracts.com/knowledge/how-to-set-up-payment-providers-for-delegate-registration,/07-delegate-registration/setting-up-payment-providers-for-delegate-registration
https://help.oxfordabstracts.com/knowledge/how-to-test-accessibility-of-oxford-abstracts-web-pages-with-google-lighthouse,/01-getting-started/testing-the-accessibility-of-oxford-abstracts-web-pages
https://help.oxfordabstracts.com/knowledge/how-to-use-registration-analytics,/07-delegate-registration/using-registration-analytics
https://help.oxfordabstracts.com/knowledge/how-to-use-speaker-management,/08-conference-platform/using-speaker-management
https://help.oxfordabstracts.com/knowledge/how-to-use-submission-analytics,/02-submissions/using-submission-analytics
https://help.oxfordabstracts.com/knowledge/how-to-use-the-customer-portal,https://oxfordabstracts.com/resources/contact-support/
https://help.oxfordabstracts.com/knowledge/how-to-use-the-email-logs,/05-emails/using-the-email-sent-log
https://help.oxfordabstracts.com/knowledge/how-to-use-the-search-bars,/01-getting-started/using-the-search-bars
https://help.oxfordabstracts.com/knowledge/how-to-view-the-program-builder,/06-programme-exports-reports/viewing-the-mobile-version-of-the-program-builder
https://help.oxfordabstracts.com/knowledge/how-to-view-transactions-on-the-attendee-table,/07-delegate-registration/viewing-transactions-on-the-attendee-table
https://help.oxfordabstracts.com/knowledge/if-you-have-the-professional-conference-package-you-will-have-a-feature-that-allows-you-to-control-access-to-the-premium-features-of-the-platform,/06-programme-exports-reports/public-vs-full-access-programme
https://help.oxfordabstracts.com/knowledge/making-a-second/additional-submission,/12-for-submitters/making-a-second-additional-submission
https://help.oxfordabstracts.com/knowledge/making-a-submission,/12-for-submitters/making-a-submission
https://help.oxfordabstracts.com/knowledge/making-a-submission-on-behalf-of-someone-else,/02-submissions/making-a-submission-on-behalf-of-someone-else
https://help.oxfordabstracts.com/knowledge/making-decisions-on-submissions-as-a-committee-member,/13-for-reviewers-committee/viewing-and-making-decisions
https://help.oxfordabstracts.com/knowledge/manage-users,/01-getting-started/manage-users
https://help.oxfordabstracts.com/knowledge/managing-a-sequential-multi-stage-event-eg.-abstract-followed-by-full-paper,/02-submissions/running-a-sequential-multi-stage-event
https://help.oxfordabstracts.com/knowledge/managing-your-account,/11-account-administration/managing-your-account
https://help.oxfordabstracts.com/knowledge/moving-submissions-to-a-different-stage,/02-submissions/multi-stage-the-decision-stage
https://help.oxfordabstracts.com/knowledge/multi-stage-reviews,/02-submissions/multi-stage-reviews
